央视频道,#genre#
Vasantham,http://10.10.10.5:1228/stv.php?id=Vasantham
CNA,http://10.10.10.5:1228/stv.php?id=cna_twn
MeWatch Ch 5,http://10.10.10.5:1228/stv.php?id=Mewatch_ch5
MeWatch Ch 8,http://10.10.10.5:1228/stv.php?id=Mewatch_ch8
MeWatch Ch U,http://10.10.10.5:1228/stv.php?id=Mewatch_chU
MeWatch Suria,http://10.10.10.5:1228/stv.php?id=Mewatch_Suria
MeWatch Vasantham,http://10.10.10.5:1228/stv.php?id=Mewatch_Vasantham
MeWatch CNA,http://10.10.10.5:1228/stv.php?id=Mewatch_cna

马来西亚频道,#genre#
TV1,http://10.10.10.5:1228/stv.php?id=TV1
TV1,http://10.10.10.5:1228/stv.php?id=TV1_backup
TV2,http://10.10.10.5:1228/stv.php?id=TV2
TV3,http://10.10.10.5:1228/stv.php?id=TV3
TV3 SD,http://10.10.10.5:1228/stv.php?id=TV3_mega
NTV7,http://10.10.10.5:1228/stv.php?id=NTV7
TV8,http://10.10.10.5:1228/stv.php?id=TV8
TV9,http://10.10.10.5:1228/stv.php?id=TV9
Ria,http://10.10.10.5:1228/stv.php?id=Ria-0
Ria-3,http://10.10.10.5:1228/stv.php?id=Ria_backup
Al-Hijrah,http://10.10.10.5:1228/stv.php?id=Alhijrah
Al-Hijrah,http://10.10.10.5:1228/stv.php?id=Alhijrah_backup
Awani,http://10.10.10.5:1228/stv.php?id=Awani
Bernama,http://10.10.10.5:1228/stv.php?id=Bernama
Prima,http://10.10.10.5:1228/stv.php?id=Prima-0
Prima,http://10.10.10.5:1228/stv.php?id=AAprima1
Prima2,http://10.10.10.5:1228/stv.php?id=AAprima
Ceria,http://10.10.10.5:1228/stv.php?id=Ceria
Astro MTV,http://10.10.10.5:1228/stv.php?id=AstroMTV
Mecca Live HD,http://10.10.10.5:1228/stv.php?id=quran_mido
Madinah HD,http://10.10.10.5:1228/stv.php?id=sunnah_mido
Oasis,http://10.10.10.5:1228/stv.php?id=Oasis
Siar,http://10.10.10.5:1228/stv.php?id=Siar
Citra,http://10.10.10.5:1228/stv.php?id=AAcitra
Citra,http://10.10.10.5:1228/stv.php?id=AAcitra1
Sensasi,http://10.10.10.5:1228/stv.php?id=Sensasi
Aura,http://10.10.10.5:1228/stv.php?id=Aura
Rania,http://10.10.10.5:1228/stv.php?id=Rania
KBS World,http://10.10.10.5:1228/stv.php?id=KBS
Boo,http://10.10.10.5:1228/stv.php?id=Boo
Awesome TV,http://10.10.10.5:1228/stv.php?id=Dsangat
Astro Sonypix,http://10.10.10.5:1228/stv.php?id=Asonypix
Sony HD,http://10.10.10.5:1228/stv.php?id=SetOne
TvN,http://10.10.10.5:1228/stv.php?id=TVN
AEC,http://10.10.10.5:1228/stv.php?id=AEC
华丽台 HD Wah Lai Toi,http://10.10.10.5:1228/stv.php?id=Wlt
欢喜台 HD Hua Hee Tai,http://10.10.10.5:1228/stv.php?id=Huahee
Astro QJ,http://10.10.10.5:1228/stv.php?id=Quanjia
TVB Jade,http://10.10.10.5:1228/stv.php?id=Tvbjade
TVB Asia,http://10.10.10.5:1228/stv.php?id=Tvbasia
TVB Entertainment,http://10.10.10.5:1228/stv.php?id=Tvbentertainment
TVB Classic,http://10.10.10.5:1228/stv.php?id=Tvbclassic
AOD,http://10.10.10.5:1228/stv.php?id=Aodhd
TVB 星河台 Xing He,http://10.10.10.5:1228/stv.php?id=Xinhe
爱奇艺 iQiyi,http://10.10.10.5:1228/stv.php?id=Qiyi
Goshop,http://10.10.10.5:1228/stv.php?id=Goshop
Celestial Movies HD,http://10.10.10.5:1228/stv.php?id=Celestial
Astro LOL,http://10.10.10.5:1228/stv.php?id=Astro_lol
Astro Rusi,http://10.10.10.5:1228/stv.php?id=Rusi
WION,http://10.10.10.5:1228/stv.php?id=Wion
RTM Asean,http://10.10.10.5:1228/stv.php?id=Rtmasean

印尼频道,#genre#
TVRI National,http://10.10.10.5:1228/stv.php?id=TVRI
RCTI,http://10.10.10.5:1228/stv.php?id=Rcti
Kompass TV,http://10.10.10.5:1228/stv.php?id=Kompass
Berita Satu,http://10.10.10.5:1228/stv.php?id=BeritaSatu_eko
Indosiar HD,http://10.10.10.5:1228/stv.php?id=Indosiar
AnTV,http://10.10.10.5:1228/stv.php?id=Antv
MNC TV,http://10.10.10.5:1228/stv.php?id=Mnctv
Trans 7,http://10.10.10.5:1228/stv.php?id=Trans7_eko
Transtv,http://10.10.10.5:1228/stv.php?id=Transtv
JTV,http://10.10.10.5:1228/stv.php?id=JTV_eko
Metro TV,http://10.10.10.5:1228/stv.php?id=metrotv_eko
SCTV,http://10.10.10.5:1228/stv.php?id=SCTV
Tvone,http://10.10.10.5:1228/stv.php?id=Tvone
TVMU,http://10.10.10.5:1228/stv.php?id=TVMU_eko
GTV,http://10.10.10.5:1228/stv.php?id=Gtv
RTV,http://10.10.10.5:1228/stv.php?id=Rtv
Jak TV,http://10.10.10.5:1228/stv.php?id=JakTV
iNews TV,http://10.10.10.5:1228/stv.php?id=Inewstv
Daai TV,http://10.10.10.5:1228/stv.php?id=DaaiTV
Net TV,http://10.10.10.5:1228/stv.php?id=NetTV
EWTN,http://10.10.10.5:1228/stv.php?id=Ewtn
Tawaf TV,http://10.10.10.5:1228/stv.php?id=TawafTV
Vision Prime,http://10.10.10.5:1228/stv.php?id=VisionPrime
Muslim TV,http://10.10.10.5:1228/stv.php?id=MuslimTV
Music TV,http://10.10.10.5:1228/stv.php?id=MusicTV
LifestyleFashion,http://10.10.10.5:1228/stv.php?id=Lifestyle
AlKareem,http://10.10.10.5:1228/stv.php?id=AlQuran


印度频道,#genre#
Sun TV HD,http://10.10.10.5:1228/stv.php?id=Suntv
Star Vijay,http://10.10.10.5:1228/stv.php?id=Starvijay
Colors Tamil,http://10.10.10.5:1228/stv.php?id=Colorstam
Sun Music,http://10.10.10.5:1228/stv.php?id=Sunmusic
Astro Sunlife,http://10.10.10.5:1228/stv.php?id=Sunlife
Astro Vaanavil,http://10.10.10.5:1228/stv.php?id=Vaanavil
Zee Tamil,http://10.10.10.5:1228/stv.php?id=Zeetamil
Zee Business,http://10.10.10.5:1228/stv.php?id=Zeebusiness
News 18 Tamil,http://10.10.10.5:1228/stv.php?id=news18tamil_raj
Adithya,http://10.10.10.5:1228/stv.php?id=Adithya
Makkal TV,http://10.10.10.5:1228/stv.php?id=Makkaltv
Zee Action,http://10.10.10.5:1228/stv.php?id=Zeeaction
Astro KTV,http://10.10.10.5:1228/stv.php?id=Astroktv
Zee TV HD,http://10.10.10.5:1228/stv.php?id=Zeetvhd
Zee Cinema HD,http://10.10.10.5:1228/stv.php?id=Zeecinemahd
Color HD,http://10.10.10.5:1228/stv.php?id=Colorhd
Starplus HD,http://10.10.10.5:1228/stv.php?id=Starplushd
Picture HD,http://10.10.10.5:1228/stv.php?id=Npicture
Zee News,http://10.10.10.5:1228/stv.php?id=Zeenews
Asianet,http://10.10.10.5:1228/stv.php?id=asianet_raj
Asianet News,http://10.10.10.5:1228/stv.php?id=asianetnews_raj
Discovery World Tamil,http://10.10.10.5:1228/stv.php?id=discoveryworldtam_raj
History Tamil,http://10.10.10.5:1228/stv.php?id=historytam_raj
NatGeo Tamil,http://10.10.10.5:1228/stv.php?id=natgeotamil_raj
Natgeo Wild Tamil,http://10.10.10.5:1228/stv.php?id=natgeowildtamil_raj
Discovery Kids Tamil,http://10.10.10.5:1228/stv.php?id=discoverykidtamil_raj
Sony Yay Tamil,http://10.10.10.5:1228/stv.php?id=sonyyaytam_raj
Sun TV India,http://10.10.10.5:1228/stv.php?id=suntv_raj
Starmaa HD,http://10.10.10.5:1228/stv.php?id=starmaa_raj
Starmaa Movies HD,http://10.10.10.5:1228/stv.php?id=starmaamovies_raj
Bollyone,http://10.10.10.5:1228/stv.php?id=Bollyone
Vijay Super,http://10.10.10.5:1228/stv.php?id=vijaysuper_raj
Vellithirai,http://10.10.10.5:1228/stv.php?id=Vellithirai
Discovery Tamil,http://10.10.10.5:1228/stv.php?id=discoverytamil_raj

泰国频道,#genre#
Channel 3 Thailand,http://10.10.10.5:1228/stv.php?id=ch3_pat
Channel 5 Thailand,http://10.10.10.5:1228/stv.php?id=ch5_pat
Channel 7 Thailand,http://10.10.10.5:1228/stv.php?id=ch7_pat
MCOT HD Thailand-1,http://10.10.10.5:1228/stv.php?id=mcot_pat
PPTV Thailand1,http://10.10.10.5:1228/stv.php?id=pptv_pat
Thai Thai,http://10.10.10.5:1228/stv.php?id=thaithai_pat
Amarin,http://10.10.10.5:1228/stv.php?id=amarin_pat
Ch 8,http://10.10.10.5:1228/stv.php?id=ch8_pat
GmmOne,http://10.10.10.5:1228/stv.php?id=gmmone_pat
Mono,http://10.10.10.5:1228/stv.php?id=mono_pat
Thairath,http://10.10.10.5:1228/stv.php?id=thairath_pat
tpbs,http://10.10.10.5:1228/stv.php?id=tpbs_pat
Workpoint,http://10.10.10.5:1228/stv.php?id=workpoint_pat
Gmm Channel,http://10.10.10.5:1228/stv.php?id=gmmchannel_pat
Nation,http://10.10.10.5:1228/stv.php?id=nation_pat
Tnn24,http://10.10.10.5:1228/stv.php?id=tnn24_pat
Nbt,http://10.10.10.5:1228/stv.php?id=nbt_pat
New,http://10.10.10.5:1228/stv.php?id=new_pat
TPTV,http://10.10.10.5:1228/stv.php?id=tptv_pat

英国频道,#genre#
BBC 1,http://10.10.10.5:1228/stv.php?id=bbc1_antik
